Perfume,Valor,Ocasião de Uso,Período de Uso,Clima,Sexo,Sentimento,Notas Olfativas,Estilo,Faixa Etária,Intensidade
LATTAFA BADEE AL OUD SUBLIME 100ML," $ 22,00 ",Evento Formal,Noite,Frio,Masculino,"Sofisticado, Marcante","Oud, Âmbar, Notas florais",Sofisticado,30-50,Forte
LATTAFA CONFIDENTIAL PRIVATE GOLD 100ML," $ 19,00 ",Evento Formal,Noite,Frio,Feminino,"Elegante, Luxuoso","Jasmim, Rosa, Baunilha",Sofisticado,25-45,Moderada
LATTAFA ECLAIRE 100ML," $ 30,00 ","Casual, Evento Formal",Dia,Quente,Feminino,"Elegante, Sofisticado","Frutas, Baunilha, Notas florais","Casual, Sofisticado",20-45,Moderada
LATTAFA EJAAZI 100ML EDP," $ 16,00 ",Casual,Dia,Quente,Masculino,"Sofisticado, Fresco","Cítricos, Notas amadeiradas",Casual,20-40,Leve
LATTAFA EMEER 100ML," $ 25,00 ","Casual, Evento Formal",Noite,Frio,Masculino,"Elegante, Sofisticado","Notas amadeiradas, Especiarias, Baunilha",Sofisticado,25-45,Moderada
LATTAFA FAKHAR EXTRAIT 100ML GOLD," $ 22,00 ",Evento Formal,Noite,Frio,Masculino,"Sofisticado, Luxuoso","Oud, Âmbar, Especiarias",Sofisticado,30-50,Forte
LATTAFA FAKHAR MAN SILVER 100ML," $ 20,50 ",Casual,Dia,Quente,Masculino,"Elegante, Sofisticado","Notas amadeiradas, Musgo, Baunilha",Casual,25-45,Moderada
LATTAFA FAKHAR WOMEN 100ML," $ 21,25 ",Evento Formal,Noite,Frio,Feminino,"Elegante, Sofisticado","Frutas, Jasmim, Baunilha",Sofisticado,25-45,Moderada
LATTAFA HAYA EDP 100ML," $ 26,00 ","Casual, Evento Formal",Dia,Quente,Feminino,"Elegante, Luxuoso","Rosa, Baunilha, Notas amadeiradas",Sofisticado,20-40,Moderada
LATTAFA HAYAATI AL MALEKY 100ML EDP UNIS," $ 13,90 ",Casual,Dia,Quente,Unissex,"Sofisticado, Leve","Notas florais, Almíscar, Baunilha",Casual,20-40,Leve
LATTAFA HIS CONFESSION MASC 100ML," $ 46,00 ",Evento Formal,Noite,Frio,Masculino,"Sofisticado, Intenso","Musk, Especiarias, Baunilha",Sofisticado,25-50,Forte
LATTAFA KHASHABI 100ML EDP UNISSEX," $ 17,00 ",Casual,Dia,Quente,Unissex,"Sofisticado, Fresco","Madeiras, Especiarias, Notas florais",Casual,20-40,Leve
LATTAFA LAIL MALEKI MOROCCO 100ML," $ 17,00 ",Casual,Dia,Quente,Masculino,"Sofisticado, Leve","Musk, Baunilha, Notas florais",Casual,20-40,Leve
LATTAFA MAAHIR 100ML," $ 18,00 ",Casual,Dia,Quente,Unissex,Fresco,"Cítrico, Floral",Elegante,"Jovem, Adulto",Média
LATTAFA MAAHIR BLACK EDITION 100ML," $ 20,50 ",Jantar,Noite,Frio,Masculino,Sofisticado,"Amadeirado, Oriental",Sofisticado,Adulto,Alta
LATTAFA MAHARJAN SILVER 100ML," $ 23,00 ",Festa,Dia/Noite,Quente,Unissex,Envolvente,"Floral, Frutal",Moderno,"Adulto, Jovem",Alta
LATTAFA MALIK AL TAYOOR 100ML EDP UNISSEX," $ 19,00 ",Casual,Dia,Quente,Unissex,Refrescante,"Cítrico, Amadeirado",Casual,"Jovem, Adulto",Média
LATTAFA MASHRABYA 100ML," $ 21,00 ","Trabalho, Casual",Dia,Quente,Feminino,Elegante,"Floral, Amadeirado",Sofisticado,"Jovem, Adulto",Média
LATTAFA MAYAR CHERRY INTENSE 100ML," $ 31,00 ",Jantar,Noite,Frio,Feminino,"Doce, Intenso","Frutal, Baunilha, Amadeirado",Sensual,"Jovem, Adulto",Alta
LATTAFA MOHRA SILKY ROSE 100ML," $ 15,50 ",Casual,Dia,Quente,Feminino,Romântico,"Rosa, Floral",Romântico,"Jovem, Adulto",Média
LATTAFA MUSAMAM 100ML," $ 26,25 ",Festa,Noite,Frio,Masculino,Sofisticado,"Amadeirado, Especiado",Moderno,Adulto,Alta
LATTAFA NEBRAS 100ML," $ 17,90 ",Casual,Dia,Quente,Feminino,Fresco,"Cítrico, Floral",Casual,"Jovem, Adulto",Média
LATTAFA OUD MOOD 100ML UNISSEX," $ 16,00 ",Jantar,Noite,Frio,Unissex,Intenso,"Oud, Amadeirado, Baunilha",Sofisticado,Adulto,Alta
LATTAFA PRIDE LA AFRICAN DRUMMER 100ML," $ 24,90 ",Casual,Dia,Quente,Masculino,Refrescante,"Cítrico, Amadeirado",Casual,"Jovem, Adulto",Média
LATTAFA QAED AL FURSAN UNLIMITED 90ML," $ 13,50 ",Casual,Dia,Quente,Masculino,Fresco,"Amadeirado, Cítrico",Casual,"Jovem, Adulto",Média
LATTAFA QIMMAH 100ML MAN," $ 17,50 ",Casual,Dia/Noite,Quente,Masculino,Fresco,"Cítrico, Amadeirado",Casual,"Jovem, Adulto",Média
LATTAFA RAED LUXE GOLD 100ML," $ 17,25 ",Casual,Dia,Quente,Masculino,Elegante,"Amadeirado, Baunilha",Casual,"Jovem, Adulto",Média
LATTAFA RAED OUD EDP H V 100ML," $ 17,25 ",Jantar,Noite,Frio,Masculino,Intenso,"Oud, Amadeirado, Especiado",Sofisticado,Adulto,Alta
LATTAFA RAVE NOW 100ML WOMEN," $ 15,50 ",Jantar,Noite,Frio,Feminino,Sensual,"Floral, Frutal",Sensual,"Jovem, Adulto",Média
LATTAFA ROUAT AL OUD 100ML UNISSEX," $ 16,00 ",Jantar,Noite,Frio,Unissex,Intenso,"Oud, Especiado, Amadeirado",Sofisticado,Adulto,Alta
LATTAFA SEHR EDP 100ML," $ 29,00 ",Jantar,Noite,Frio,Feminino,Sofisticado,"Amadeirado, Floral, Baunilha",Sofisticado,Adulto,Alta
LATTAFA SONDOS 100ML WOMEN," $ 16,50 ",Casual,Dia,Quente,Feminino,Fresco,"Floral, Cítrico, Musgo",Casual,"Jovem, Adulto",Média
LATTAFA THARWAH SILVER 100ML," $ 26,00 ",Jantar,Noite,Frio,Masculino,Intenso,"Amadeirado, Baunilha, Especiado",Sofisticado,Adulto,Alta
LATTAFA THE KINGDOM 100ML WOMEN," $ 19,75 ",Festa,Noite,Frio,Feminino,Sofisticado,"Floral, Amadeirado, Baunilha",Sofisticado,"Jovem, Adulto",Alta
LATTAFA THOUQ 80ML," $ 19,50 ",Casual,Dia,Quente,Masculino,Fresco,"Amadeirado, Cítrico",Casual,"Jovem, Adulto",Média
LATTAFA VELVET MUSK 100ML," $ 18,00 ",Casual,Dia/Noite,Quente,Masculino,Sofisticado,"Almíscar, Floral, Amadeirado",Casual,Adulto,Média
LATTAFA VELVET ROSE 100ML," $ 14,00 ",Casual,Dia,Quente,Feminino,Romântico,"Rosa, Floral, Musgo",Romântico,"Jovem, Adulto",Média
LATTAFA YARA CANDY 100ML," $ 22,00 ",Festa,Noite,Frio,Feminino,"Doce, Sensual","Frutal, Baunilha",Sensual,"Jovem, Adulto",Alta
LATTAFA YARA ROSA 100ML," $ 17,50 ",Casual,Dia,Quente,Feminino,Romântico,"Floral, Rosa, Musgo",Romântico,"Jovem, Adulto",Média
